6103819587,Volkswagen,Scirocco,55900,2017,53829
6103930750,Volkswagen,Scirocco,57900,2011,108000
6103737120,Volkswagen,Scirocco,45500,2012,165000
6104970878,Volkswagen,Scirocco,39900,2009,231000
6104970055,Volkswagen,Scirocco,49900,2014,91000
6104589936,Volkswagen,Scirocco,38000,2009,168000
6104614054,Volkswagen,Scirocco,31900,2008,177000
6104887972,Volkswagen,Scirocco,38900,2008,176000
6105198921,Volkswagen,Scirocco,38950,2009,200000
6105192038,Volkswagen,Scirocco,21000,2009,217000
6104913670,Volkswagen,Scirocco,30500,2009,241200
6103635816,Volkswagen,Scirocco,44850,2008,74610
6100797455,Volkswagen,Scirocco,69500,2015,142000
6104986562,Volkswagen,Scirocco,34699,2009,209000
6104878126,Volkswagen,Scirocco,82450,2013,90345
6097702244,Volkswagen,Scirocco,64890,2011,112000
6105128137,Volkswagen,Scirocco,61900,2015,219000
6105123070,Volkswagen,Scirocco,25900,2008,240000
6104833626,Volkswagen,Scirocco,35900,2009,198203
6104749569,Volkswagen,Scirocco,39900,2011,181000
6104360849,Volkswagen,Scirocco,37498,2008,260000
6103623879,Volkswagen,Scirocco,32999,2008,229999
6103615014,Volkswagen,Scirocco,36800,2008,220000
6104980979,Volkswagen,Scirocco,38000,2011,198359
6101795766,Mitsubishi,Lancer,65000,2009,126500
6104916623,Mitsubishi,Lancer,22999,2009,198688
6105043395,Mitsubishi,Lancer,25999,2008,121108
6104858186,Mitsubishi,Lancer,17999,2009,256741
6104099767,Mitsubishi,Lancer,59900,2016,18400
6104858200,Mitsubishi,Lancer,22900,2010,173000
6102614903,Mitsubishi,Lancer,49000,2016,60000
6104757803,Mitsubishi,Lancer,24000,2009,198655
6104745247,Mitsubishi,Lancer,28900,2009,117795
6104739196,Mitsubishi,Lancer,24900,2010,153000
6100529681,Mitsubishi,Lancer,54900,2016,72000
6104957419,Mitsubishi,Lancer,20000,2008,175000
6104979246,Volvo,c30,16700,2007,254000
6102017578,Volvo,c30,16900,2008,232467
6103775001,Volvo,c30,15700,2006,140800
6104666254,Volvo,c30,20900,2009,230000
6104933740,Volvo,c30,19900,2009,199770
6104911045,Volvo,c30,17900,2008,202160
6104965693,Volvo,c30,28900,2011,257000
6105031718,Volvo,c30,34900,2011,244201
6104605998,Volvo,c30,18500,2007,206000
6101978850,Volvo,c30,39500,2010,191000
6104662312,Volvo,c30,45900,2012,180000
6098062445,Volvo,c30,15800,2008,198000
6104903288,Volvo,c30,22900,2010,200000
6105154696,Volvo,c30,16199,2007,232924
6104816075,Volvo,c30,41000,2011,102000
6103709856,Volvo,c30,23900,2008,182000
6103447950,Volvo,c30,18000,2008,208000
6104584965,Volvo,c30,16900,2007,238000
6104068844,Volvo,c30,24999,2009,187571
6104574126,Volvo,c30,26700,2010,211000
6104838598,Volvo,c30,22900,2010,249000
6104499444,Volvo,c30,18900,2007,144900
6104046797,Volvo,c30,17900,2008,208000
6102831895,Volvo,c30,18900,2008,189000
6104823265,Volvo,c30,17900,2007,230000
6104486196,Volvo,c30,29700,2007,157945
6103534035,Volvo,c30,32000,2010,151000
6101727815,Volvo,c30,15900,2007,227500
6105008142,Volvo,c30,26900,2007,180425
6104316748,Volvo,c30,44900,2011,137000
6105356580,Volkswagen,Scirocco,37900,2009,197000
6104193992,Volkswagen,Scirocco,40000,2009,161000
6104195853,Volkswagen,Scirocco,76900,2014,117877
6105306369,Volkswagen,Scirocco,35900,2009,229000
6105352695,Mitsubishi,Lancer,25900,2008,199206
6102796881,Volvo,c30,20500,2008,133001
6105312731,Volvo,c30,16900,2008,211000
6105312596,Volvo,c30,14900,2007,199000
6104233817,Volkswagen,Scirocco,31000,2008,217000
6105361289,Volkswagen,Scirocco,39900,2009,201584
6097442369,Volkswagen,Scirocco,33800,2010,229000
6105348568,Mitsubishi,Lancer,39999,2015,111200
6102461769,Mitsubishi,Lancer,16900,2008,190000
